segment	oral	vfca	nasal	larynx	ac.1	ac.2	ac.3	ac.4	ac.5	ac.6	ac.7	ac.8	ac.9	ac.10	ac.11	ac.12	ac.13	ac.14	ac.15	ac.16	vt.1	vt.2	vt.3	vt.4	vt.5	vt.6	vt.7	vt.8	vt.9	vt.10	vt.11	vt.12	vt.13	vt.14	vt.15	vt.16
ʎ	-0.3053470938	0.5615235797	-0.1346823725	0.451350079	1.0696725454	-0.9164836331	-2.9446354653	0.1388168013	0.1798405745	-0.1173187299	-0.5027487226	-0.254153573	-0.0413139973	0.1933010788	0.1783311334	-0.095004557	-0.313073967	-0.066902924	-0.0171081947	-0.0968127407	8.6958944955	4.6508091683	3.815836457	0.2418286948	0.1107913808	0.2611418306	-0.3129133041	-0.1517763803	-0.3770787946	-0.1607348664	0.3974508603	0.3325737328	-0.7305215678	-0.178204407	-0.0876252376	-0.1220772345
ɸ	2.6891149953	-1.3503168	-0.314898486	1.080500076	-0.8386090311	1.0987454736	1.9559381441	-0.7994683241	0.4493638019	-0.9505867016	0.3161371654	0.7690395882	0.0720200546	0.4678956354	0.0794349696	-0.0926286926	-0.1172233385	-0.2762083447	0.138502729	0.221069861	-3.1845612308	-0.1066714782	0.8027301287	-1.8293995111	0.0500988818	-0.1071627118	0.3016127217	-0.0343606465	-0.2328193533	0.137721277	0.0248654736	0.2347594383	0.0177354903	0.3564648403	0.0191402458	-0.05819793
ɟ	-0.4778954724	-0.2707198527	-0.4234156162	-1.4514124869	-1.6938932028	2.6350532889	-1.0721967458	1.2492639427	-0.1677492821	0.0247201801	0.0077943688	-0.0681071408	0.3657316726	0.3302947582	-0.0492639194	-0.2263800489	-0.1793308894	-0.0041832343	-0.3857791138	0.1538471411	13.3675585813	3.1500174655	4.1293738855	0.9453248314	1.8124705002	-0.2396914166	1.5073285857	-0.7246001258	-0.450162285	0.9618420143	0.3746680675	-0.8154736566	-0.7077117467	0.3360570569	0.0208838782	-0.263423857
ɲ	-0.9444631106	0.6749553744	3.1686064147	-0.4581284831	2.4644687805	-2.6811529465	-2.3596547701	0.5082758445	1.0465353015	0.0273273835	-0.0121315858	-0.0504302723	0.8772780729	0.3309719523	0.0381589251	-0.5707864006	0.2088114383	0.2641980918	-0.1049208083	0.3948251069	12.5080898949	0.7814880465	2.8994689152	0.92964246	0.4655218133	0.075759829	-0.0888747284	0.1563637907	0.003176855	1.328957354	0.5219935504	0.0051103448	-0.4600328209	0.2307814575	0.5481170432	-0.0908535052
ɳ	-0.7938417135	0.5083413998	2.616496946	-0.068213798	4.1011877023	-4.288986954	-1.3872541398	1.1384418487	0.8418538891	-0.5670418202	0.4133944242	0.0800532048	0.4680019733	0.1443179217	-0.4116871737	-0.3222207068	0.1773243509	0.0751638396	0.1931733433	-0.1960861065	-0.3502932212	-0.0772007576	2.2877503096	-0.3223455996	-1.1784343949	-1.3595012989	-0.8152945331	-0.6846591482	0.7962471756	0.0232665467	0.0371355108	0.2424931235	0.1708111823	0.3548174153	0.1062848037	0.081735661
ɣ	1.6738336375	0.6491339933	-0.4068162835	-0.2934814701	0.4569548266	1.4867178713	0.9013995293	-1.2903380894	0.2735718268	-0.6840019287	0.1110435833	-0.4226221519	0.1318586485	0.1243090935	-0.3724799256	0.4146785633	-0.1653900459	-0.3240387866	-0.0289099932	0.0928817615	-3.2471754173	1.8978093344	0.6328138262	-0.0781758258	-1.4151315242	0.4728462542	-0.2005325439	-0.0855433642	0.2701543037	-0.6060344565	0.2247149047	0.3418461862	0.133504468	-0.1849578612	-0.0161198945	0.1038522529
ɭ	-0.246168523	0.5770814094	-0.1504047879	-0.3558947634	3.8239884288	-2.0166330576	-0.9960996763	0.3347252459	-0.3621938327	-0.4675112181	-0.2187575186	-0.1444670044	-0.7256122334	-0.0459562317	-0.6724426925	0.1192526243	-0.1425457269	-0.1041117469	-0.0101278331	-0.4752555315	-2.3797590293	-0.4948198269	1.3529371825	-0.017236449	-0.7991527051	-0.9391067631	0.2266281001	-0.6511353012	0.3079062847	-0.5593977349	-0.0178345099	0.1962899944	0.1909716191	0.2216112937	0.0525135006	-0.018295145
ʃ	2.0006815692	-1.0208344854	-0.2510050428	0.6548490859	-10.4663891103	-2.8212321523	-0.3068276661	-0.1787253228	-1.4062506278	-1.68263839	0.133107258	1.1724830571	0.2141554674	-0.8059033384	0.0632759423	-0.0214630089	-0.1389722041	0.2229018739	-0.0991167164	0.1831344771	4.026275858	-1.1933980035	1.3818609082	0.8624220324	1.5469419204	-1.5446729995	-0.2467586544	0.6601653847	1.3870748032	-0.3390237394	0.1811972769	-0.7046245529	0.6463291976	-0.7882355419	0.1091483871	-0.1684446108
ɨ	-0.3877014499	0.2568830835	-0.1519212351	0.4418371507	3.0813906099	1.8996651425	-1.1649791057	-1.3943696009	-0.7367396667	0.1485297078	0.2591723283	-0.2320356989	0.1912356065	0.3193065263	-0.0141509183	0.2774986884	0.0850836057	0.0883470181	0.1194005496	-0.1266112019	-3.827004657	0.2710956131	0.595164335	-0.6706300326	-0.8496171381	-0.7771346174	0.8702711419	-0.3532989934	0.1711258714	-0.5189900526	0.1585556129	0.1171652254	-0.2123660692	-0.3997362102	-0.3414307325	-0.2067894596
ʔ	-0.8720205209	-1.463904781	-0.5770937464	0.9020694156	1.2272964674	1.4815980633	1.6968620919	1.2662447399	0.3200532867	0.0585201589	-0.4847531998	0.1082809283	-0.4517336162	0.148441492	0.3939053255	0.2685072523	0.4131769956	0.1248602651	0.0314570303	0.0342306676	-3.0666391095	0.0166147969	0.9271924823	-0.2456183172	-1.3245559537	-0.3260579632	0.61101712	-0.4124257254	-0.0428758376	-0.3508852743	0.1584414301	0.0927579286	-0.0350278471	0.2009674797	-0.0264618034	0.0084642803
